"id","cf"
1,G4T9L1PQ2K5JH8FD
2,3HT6K4EJ9U1RQ0WS
3,X5T2R7ZB3F8MV6NL
4,N1C3D5V9A2S4F8G7
5,9QW4E6R1T2Y3U7I8
6,H2G4F5D6S3A7L9K8
7,J4R8E2W1Q6T5Z0X9
8,B2V4N6M8C1X2Z3L5
9,U7Y6T5R4E3W2Q1Z0
10,F1D2S3A4G5H6J7K8
11,L9K8J7H6G5F4D3S2
12,A1S2D3F4G5H6J7K8
13,M9N8B7V6C5X4Z3L2
14,Q1W2E3R4T5Y6U7I6
15,O9P0A1S2D3F4G5H6
16,Z7X6C5V4B3N2M1L0
17,K1J2H3G4F5D6S7A8
18,Y9T8R7E6W5Q4Z3X2
19,U1I2O3P4A5S6D7F8
20,G9H8J7K6L5M4N3B2
21,V1C2X3Z4L5K6J7H8
22,G9F8D7S6A5P0R9E8
23,W7Q6T5Y4U3I2O1P0
24,A1Z2X3C4V5B6N7M8
25,K9J8H7G6F5D4S3A2
26,Q1W2E3R4T5Y6U7I8
27,O9P0L1K2J3H4G5F6
28,D7S6A5P4R3E2W1Q0
29,T1Y2U3I4O5P6A7S8
30,D9F8G7H6J5K4L3M2
31,B1V2C3X4Z5L6K7J8
32,H9G8F7D6S5A4P3R2
33,E1W2Q3T4Y5U6I7O8
34,P9A0S1D2F3G4H5J6
35,K7L8M9N0B1V2C3X4
36,Z5L6K7J8H9G8F7D6
37,S5A4P3R2E1W0Q9T8
38,Y7U6I5O4P3A2S1D0
39,F2G3H4J5K6L7M8N9
40,B0V1C2X3Z4L5K6J7
41,H8G9F0D1S2A3P4R5
42,E6W7Q8T9Y0U1I2O3
43,P4A5S6D7F8G9H0J1
44,K2L3M4N5B6V7C8X9
45,Z0L1K2J3H4G5F6D7
46,S8A9P0R1E2W3Q4T5
47,Y6U7I8O9P0A1S2D3
48,F4G5H6J7K8L9M0N1
49,B2V3C4X5Z6L7K8J9
50,H0G1F2D3S4A5P6R7
51,E8W9T0Y1U2I3O4P5
52,A6S7D8F9G0H1J2K3
53,L4M5N6B7V8C9X0Z1
54,K2J3H4G5F6D7S8A9
55,P0R1E2W3Q4T5Y6U7
56,I8O9P0A1S2D3F4G5
57,H6J7K8L9M0N1B2V3
58,C4X5Z6L7K8J9H0G1
59,F2D3S4A5P6R7E8W9
60,Q0T1Y2U3I4O5P6A7
61,S8D9F0G1H2J3K4L5
62,M6N7B8V9C0X1Z2L3
63,K4J5H6G7F8D9S0A1
64,P2R3E4W5Q6T7Y8U9
65,I0O1P2A3S4D5F6G7
66,H8J9K0L1M2N3B4V5
67,C6X7Z8L9K0J1H2G3
68,F4D5S6A7P8R9E0W1
69,Q2T3Y4U5I6O7P8A9
70,S0D1F2G3H4J5K6L7
71,M8N9B0V1C2X3Z4L5
72,K6J7H8G9F0D1S2A3
73,P4R5E6W7Q8T9Y0U1
74,I2O3P4A5S6D7F8G9
75,H0J1K2L3M4N5B6V7
76,C8X9Z0L1K2J3H4G5
77,F6D7S8A9P0R1E2W3
78,Q4T5Y6U7I8O9P0A1
79,S2D3F4G5H6J7K8L9
80,M0N1B2V3C4X5Z6L7
81,K8J9H0G1F2D3S4A5
82,P6R7E8W9Q0T1Y2U3
83,I4O5P6A7S8D9F0G1
84,H2J3K4L5M6N7B8V9
85,C0X1Z2L3K4J5H6G7
86,F8D9S0A1P2R3E4W5
87,Q6T7Y8U9I0O1P2A3
88,S4D5F6G7H8J9K0L1
89,M2N3B4V5C6X7Z8L9
90,K0J1H2G3F4D5S6A7
91,P8R9E0W1Q2T3Y4U5
92,I6O7P8A9S0D1F2G3
93,H4J5K6L7M8N9B0V1
94,C2X3Z4L5K6J7H8G9
95,F0D1S2A3P4R5E6W7
96,Q8T9Y0U1I2O3P4A5
97,S6D7F8G9H0J1K2L3
98,M4N5B6V7C8X9Z0L1
99,K2J3H4G5F6D7S8A7
100,P0R1E2W3Q4T5Y6U5
